Investigation host:
normann-ThinkPad-X260

Current user:
uid=0(root) gid=0(root) groups=0(root)

Recent processes:
USER         PID    PPID     ELAPSED COMMAND         COMMAND
root           1       0    02:18:56 systemd         /sbin/init splash
root           2       0    02:18:56 kthreadd        [kthreadd]
root           3       2    02:18:56 pool_workqueue_ [pool_workqueue_release]
root           4       2    02:18:56 kworker/R-rcu_g [kworker/R-rcu_gp]
root           5       2    02:18:56 kworker/R-sync_ [kworker/R-sync_wq]
root           6       2    02:18:56 kworker/R-kvfre [kworker/R-kvfree_rcu_reclaim]
root           7       2    02:18:56 kworker/R-slub_ [kworker/R-slub_flushwq]
root           8       2    02:18:56 kworker/R-netns [kworker/R-netns]
root          10       2    02:18:56 kworker/0:0H-kb [kworker/0:0H-kblockd]
root          13       2    02:18:56 kworker/R-mm_pe [kworker/R-mm_percpu_wq]
root          14       2    02:18:56 ksoftirqd/0     [ksoftirqd/0]
root          15       2    02:18:56 rcu_preempt     [rcu_preempt]
root          16       2    02:18:56 rcu_exp_par_gp_ [rcu_exp_par_gp_kthread_worker/0]
root          17       2    02:18:56 rcu_exp_gp_kthr [rcu_exp_gp_kthread_worker]
root          18       2    02:18:56 migration/0     [migration/0]
root          19       2    02:18:56 kprobe-optimize [kprobe-optimizer]
root          20       2    02:18:56 idle_inject/0   [idle_inject/0]
root          21       2    02:18:56 cpuhp/0         [cpuhp/0]
root          22       2    02:18:56 cpuhp/1         [cpuhp/1]
root          23       2    02:18:56 idle_inject/1   [idle_inject/1]
root          24       2    02:18:56 migration/1     [migration/1]
root          25       2    02:18:56 ksoftirqd/1     [ksoftirqd/1]
root          27       2    02:18:56 kworker/1:0H-kb [kworker/1:0H-kblockd]
root          28       2    02:18:56 cpuhp/2         [cpuhp/2]
root          29       2    02:18:56 idle_inject/2   [idle_inject/2]
root          30       2    02:18:56 migration/2     [migration/2]
root          31       2    02:18:56 ksoftirqd/2     [ksoftirqd/2]
root          33       2    02:18:56 kworker/2:0H-kb [kworker/2:0H-kblockd]
root          34       2    02:18:56 cpuhp/3         [cpuhp/3]
root          35       2    02:18:56 idle_inject/3   [idle_inject/3]
root          36       2    02:18:56 migration/3     [migration/3]
root          37       2    02:18:56 ksoftirqd/3     [ksoftirqd/3]
root          39       2    02:18:56 kworker/3:0H-kb [kworker/3:0H-kblockd]
root          40       2    02:18:56 kdevtmpfs       [kdevtmpfs]
root          41       2    02:18:56 kworker/R-inet_ [kworker/R-inet_frag_wq]
root          42       2    02:18:56 rcu_tasks_kthre [rcu_tasks_kthread]
root          43       2    02:18:56 rcu_tasks_rude_ [rcu_tasks_rude_kthread]
root          44       2    02:18:56 kauditd         [kauditd]
root          45       2    02:18:56 khungtaskd      [khungtaskd]
root          46       2    02:18:56 oom_reaper      [oom_reaper]
root          49       2    02:18:56 kworker/R-write [kworker/R-writeback]
root          51       2    02:18:56 kcompactd0      [kcompactd0]
