frame.number	frame.time	ip.src	ip.dst	tcp.srcport	tcp.dstport	http.request.method	http.request.uri	http.response.code
1	Sep 24, 2026 11:31:04.754732476 CAT	127.0.0.1	127.0.0.1	42450	8765			
2	Sep 24, 2026 11:31:04.754791793 CAT	127.0.0.1	127.0.0.1	8765	42450			
3	Sep 24, 2026 11:31:04.754843127 CAT	127.0.0.1	127.0.0.1	42450	8765			
4	Sep 24, 2026 11:31:04.755073531 CAT	127.0.0.1	127.0.0.1	42450	8765	GET	/	
5	Sep 24, 2026 11:31:04.755138835 CAT	127.0.0.1	127.0.0.1	8765	42450			
6	Sep 24, 2026 11:31:04.757043972 CAT	127.0.0.1	127.0.0.1	8765	42450			
7	Sep 24, 2026 11:31:04.757129687 CAT	127.0.0.1	127.0.0.1	42450	8765			
8	Sep 24, 2026 11:31:04.757340642 CAT	127.0.0.1	127.0.0.1	8765	42450			200
9	Sep 24, 2026 11:31:04.757389474 CAT	127.0.0.1	127.0.0.1	42450	8765			
10	Sep 24, 2026 11:31:04.757479852 CAT	127.0.0.1	127.0.0.1	42450	8765			
11	Sep 24, 2026 11:31:04.757610229 CAT	127.0.0.1	127.0.0.1	8765	42450			
12	Sep 24, 2026 11:31:04.757686979 CAT	127.0.0.1	127.0.0.1	42450	8765			
13	Sep 24, 2026 11:31:04.792610708 CAT	127.0.0.1	127.0.0.1	42458	8765			
14	Sep 24, 2026 11:31:04.792669145 CAT	127.0.0.1	127.0.0.1	8765	42458			
15	Sep 24, 2026 11:31:04.792719674 CAT	127.0.0.1	127.0.0.1	42458	8765			
16	Sep 24, 2026 11:31:04.792938035 CAT	127.0.0.1	127.0.0.1	42458	8765	GET	/	
17	Sep 24, 2026 11:31:04.792969744 CAT	127.0.0.1	127.0.0.1	8765	42458			
18	Sep 24, 2026 11:31:04.794849609 CAT	127.0.0.1	127.0.0.1	8765	42458			
19	Sep 24, 2026 11:31:04.794907217 CAT	127.0.0.1	127.0.0.1	42458	8765			
20	Sep 24, 2026 11:31:04.795083526 CAT	127.0.0.1	127.0.0.1	8765	42458			200
21	Sep 24, 2026 11:31:04.795161761 CAT	127.0.0.1	127.0.0.1	42458	8765			
22	Sep 24, 2026 11:31:04.795314097 CAT	127.0.0.1	127.0.0.1	42458	8765			
23	Sep 24, 2026 11:31:04.795381215 CAT	127.0.0.1	127.0.0.1	8765	42458			
24	Sep 24, 2026 11:31:04.795460302 CAT	127.0.0.1	127.0.0.1	42458	8765			
25	Sep 24, 2026 11:31:04.831978967 CAT	127.0.0.1	127.0.0.1	42472	8765			
26	Sep 24, 2026 11:31:04.832072281 CAT	127.0.0.1	127.0.0.1	8765	42472			
27	Sep 24, 2026 11:31:04.832149499 CAT	127.0.0.1	127.0.0.1	42472	8765			
28	Sep 24, 2026 11:31:04.832428090 CAT	127.0.0.1	127.0.0.1	42472	8765	GET	/	
29	Sep 24, 2026 11:31:04.832473446 CAT	127.0.0.1	127.0.0.1	8765	42472			
30	Sep 24, 2026 11:31:04.834246258 CAT	127.0.0.1	127.0.0.1	8765	42472			
31	Sep 24, 2026 11:31:04.834295645 CAT	127.0.0.1	127.0.0.1	42472	8765			
32	Sep 24, 2026 11:31:04.834419222 CAT	127.0.0.1	127.0.0.1	8765	42472			200
33	Sep 24, 2026 11:31:04.834447665 CAT	127.0.0.1	127.0.0.1	42472	8765			
34	Sep 24, 2026 11:31:04.834586830 CAT	127.0.0.1	127.0.0.1	8765	42472			
35	Sep 24, 2026 11:31:04.834632591 CAT	127.0.0.1	127.0.0.1	42472	8765			
36	Sep 24, 2026 11:31:04.834675870 CAT	127.0.0.1	127.0.0.1	8765	42472			
37	Sep 24, 2026 11:31:04.834708569 CAT	127.0.0.1	127.0.0.1	42472	8765			
